Time,CO2 (ppm),CH4 (ppb),N2O (ppb),CFC_11 (ppb),CFC_12 (ppb)
2029.090909,436.0551387,1979.734625,341.6814932,0.206411549,0.468468842
2029.132611,436.1656973,1980.062237,341.7242654,0.2063388,0.46830345
2029.174312,436.2763048,1980.3898,341.7670509,0.206266051,0.468137908
2029.216013,436.3869611,1980.717313,341.80985,0.206193303,0.467972216
2029.257715,436.4976662,1981.044778,341.8526624,0.206120554,0.467806374
2029.299416,436.6084202,1981.372193,341.8954884,0.206047805,0.467640382
2029.341118,436.719223,1981.69956,341.9383278,0.205975056,0.46747424
2029.382819,436.8300747,1982.026877,341.9811806,0.205902307,0.467307949
2029.42452,436.9409753,1982.354145,342.0240469,0.205829558,0.467141508
2029.466222,437.0519247,1982.681365,342.0669266,0.205756809,0.466974918
2029.507923,437.1629231,1983.008535,342.1098198,0.20568406,0.466808178
2029.549625,437.2739705,1983.335657,342.1527264,0.205611311,0.466641289
2029.591326,437.3850667,1983.66273,342.1956465,0.205538563,0.466474251
2029.633028,437.496212,1983.989754,342.2385801,0.205465814,0.466307063
2029.674729,437.6074062,1984.316729,342.2815271,0.205393065,0.466139726
2029.71643,437.7186494,1984.643656,342.3244875,0.205320316,0.46597224
2029.758132,437.8299415,1984.970535,342.3674615,0.205247567,0.465804605
2029.799833,437.9412828,1985.297365,342.4104488,0.205174818,0.465636821
2029.841535,438.052673,1985.624146,342.4534497,0.205102069,0.465468887
2029.883236,438.1641123,1985.950879,342.4964639,0.20502932,0.465300806
2029.924937,438.2756006,1986.277564,342.5394917,0.204956571,0.465132575
2029.966639,438.387138,1986.6042,342.5825329,0.204883823,0.464964196
2030.00834,438.4987246,1986.930788,342.6255875,0.204811074,0.464795667
2030.050042,438.6103602,1987.257328,342.6686556,0.204738325,0.464626991
2030.091743,438.7220449,1987.583819,342.7117372,0.204665576,0.464458166
2030.133445,438.8337788,1987.910263,342.7548322,0.204592827,0.464289192
2030.175146,438.9455618,1988.236659,342.7979407,0.204520078,0.46412007
2030.216847,439.0573939,1988.563006,342.8410627,0.204447329,0.4639508
2030.258549,439.1692753,1988.889306,342.8841981,0.20437458,0.463781382
2030.30025,439.2812058,1989.215558,342.927347,0.204301831,0.463611815
2030.341952,439.3931856,1989.541761,342.9705093,0.204229083,0.4634421
2030.383653,439.5052145,1989.867917,343.0136851,0.204156334,0.463272238
2030.425354,439.6172927,1990.194026,343.0568743,0.204083585,0.463102227
2030.467056,439.7294202,1990.520086,343.1000771,0.204010836,0.462932069
2030.508757,439.8415969,1990.846099,343.1432932,0.203938087,0.462761763
2030.550459,439.9538229,1991.172065,343.1865229,0.203865338,0.462591309
